epoch,trainLoss,trainAcc,secondOrderAcc,vocabSize50,vocabSize80
53,0.9255324602127075,0.8444444537162781,0.5795,14,13
54,0.8249086737632751,0.8533333539962769,0.5705,15,12
55,0.9215032458305359,0.804444432258606,0.6455,14,10
56,0.9391896724700928,0.8088889122009277,0.5635,13,10
57,0.8944203853607178,0.8311111330986023,0.595,14,10
58,0.7767286896705627,0.8844444155693054,0.631,15,12
59,0.8257476091384888,0.8755555748939514,0.553,14,13
60,0.7496883273124695,0.8622221946716309,0.65,13,13
61,0.7939952611923218,0.8222222328186035,0.667,13,11
62,0.6815214157104492,0.8755555748939514,0.642,14,13
63,0.7107999324798584,0.8888888955116272,0.6305,15,13
64,0.675430417060852,0.8844444155693054,0.592,15,13
65,0.7661018371582031,0.902222216129303,0.5415,15,14
66,0.6292355060577393,0.9066666960716248,0.633,15,13
67,0.8081289529800415,0.8533333539962769,0.5415,14,12
68,0.7337015271186829,0.8799999952316284,0.548,15,12
69,0.6789256930351257,0.9155555367469788,0.552,15,14
70,0.6473290324211121,0.9244444370269775,0.617,15,13
71,0.6277139186859131,0.9066666960716248,0.6605,15,14
72,0.7608534693717957,0.9155555367469788,0.5155,15,14
73,0.6736757159233093,0.8933333158493042,0.5675,15,13
74,0.6643942594528198,0.8933333158493042,0.601,15,14
75,0.5563497543334961,0.9377777576446533,0.6105,15,14
76,0.5945767164230347,0.9288889169692993,0.596,15,14
77,0.5951012372970581,0.8799999952316284,0.678,14,13
78,0.5322325229644775,0.9466666579246521,0.6585,15,15
79,0.5046159625053406,0.9599999785423279,0.61,15,15
80,0.6400654911994934,0.9066666960716248,0.5875,15,13
81,0.5294345617294312,0.9422222375869751,0.6535,15,15
82,0.6197160482406616,0.9511111378669739,0.5345,15,15
83,0.7091576457023621,0.9066666960716248,0.511,15,13
84,0.539351224899292,0.9511111378669739,0.5845,15,15
85,0.5166355967521667,0.9466666579246521,0.5975,15,14
86,0.518833577632904,0.9644444584846497,0.593,15,14
87,0.5309396982192993,0.9333333373069763,0.6845,15,15
88,0.5252829790115356,0.902222216129303,0.6955,14,14
89,0.5044581890106201,0.9377777576446533,0.6615,15,15
90,0.4930862784385681,0.9333333373069763,0.639,15,15
91,0.4822525382041931,0.9555555582046509,0.624,15,15
92,0.46887147426605225,0.9511111378669739,0.6195,15,15
93,0.6215561628341675,0.9288889169692993,0.538,15,14
94,0.5064654350280762,0.9644444584846497,0.587,15,15
95,0.4502995014190674,0.9555555582046509,0.6465,15,15
96,0.6243407130241394,0.9155555367469788,0.668,15,14
97,0.45228302478790283,0.9688888788223267,0.68,15,15
98,0.4411989748477936,0.9599999785423279,0.6775,15,15
99,0.47267308831214905,0.9288889169692993,0.6825,15,13
100,0.43748295307159424,0.9466666579246521,0.674,15,14
